																																													rX	rY	rZ				z
"2013-09-11 21:26:08.909 MotionAnalysis[1051:907] Attiude(r,p,y) = 54.444, -1.213, 122.034 Original(r,p,y) = 1.597, 0.620, 2.567 RM (m11,m12,m13,m21,m22,m23,m31,m32,m33) = (-0.29384, -0.50209, -0.81337, -0.44195, -0.68315, 0.58136, -0.84755, 0.53030, -0.02116) | Rotation Rate (x,y,z) = = 0.020, -0.002, -1.527 | Gravity (x,y,z) = 0.813, -0.581, 0.021 | User Acceleration (x,y,z) = 0.042, 0.025, -0.022 | Magnetic Field (x,y,z) = = 12.710, -27.899, -22.573"																																									289	294	302	311	0.02	-0.002	-1.527	21:26:08.909	0.893158669	0.056	-4.899476697
"2013-09-11 21:26:08.965 MotionAnalysis[1051:907] Attiude(r,p,y) = 58.954, -1.218, 122.126 Original(r,p,y) = 1.596, 0.542, 2.568 RM (m11,m12,m13,m21,m22,m23,m31,m32,m33) = (-0.25883, -0.44644, -0.85656, -0.46489, -0.71974, 0.51561, -0.84669, 0.53166, -0.02125) | Rotation Rate (x,y,z) = = 0.021, -0.015, -1.547 | Gravity (x,y,z) = 0.857, -0.516, 0.021 | User Acceleration (x,y,z) = -0.029, 0.013, 0.006 | Magnetic Field (x,y,z) = = 15.094, -26.708, -22.544"																																									289	294	302	311	0.021	-0.015	-1.547	21:26:08.965	0.893159317	0.056	-4.963647971
"2013-09-11 21:26:09.008 MotionAnalysis[1051:907] Attiude(r,p,y) = 63.439, -1.196, 122.197 Original(r,p,y) = 1.594, 0.463, 2.569 RM (m11,m12,m13,m21,m22,m23,m31,m32,m33) = (-0.22246, -0.38834, -0.89426, -0.48450, -0.75193, 0.44706, -0.84603, 0.53272, -0.02087) | Rotation Rate (x,y,z) = = 0.016, -0.010, -1.466 | Gravity (x,y,z) = 0.894, -0.447, 0.021 | User Acceleration (x,y,z) = 0.010, 0.019, -0.002 | Magnetic Field (x,y,z) = = 17.322, -25.336, -22.526"																																									289	294	302	311	0.016	-0.01	-1.466	21:26:09.008	0.893159815	0.043	-3.61181135
"2013-09-11 21:26:09.064 MotionAnalysis[1051:907] Attiude(r,p,y) = 67.679, -1.185, 122.265 Original(r,p,y) = 1.593, 0.389, 2.570 RM (m11,m12,m13,m21,m22,m23,m31,m32,m33) = (-0.18656, -0.33136, -0.92488, -0.50048, -0.77804, 0.37971, -0.84541, 0.53372, -0.02069) | Rotation Rate (x,y,z) = = 0.015, -0.010, -1.383 | Gravity (x,y,z) = 0.925, -0.380, 0.021 | User Acceleration (x,y,z) = 0.016, 0.012, 0.007 | Magnetic Field (x,y,z) = = 18.854, -24.224, -22.519"																																									289	294	302	311	0.015	-0.01	-1.383	21:26:09.064	0.893160463	0.056	-4.437443532
"2013-09-11 21:26:09.119 MotionAnalysis[1051:907] Attiude(r,p,y) = 72.006, -1.179, 122.316 Original(r,p,y) = 1.592, 0.314, 2.571 RM (m11,m12,m13,m21,m22,m23,m31,m32,m33) = (-0.14860, -0.27154, -0.95089, -0.51381, -0.80038, 0.30885, -0.84494, 0.53447, -0.02058) | Rotation Rate (x,y,z) = = 0.015, -0.006, -1.562 | Gravity (x,y,z) = 0.951, -0.309, 0.021 | User Acceleration (x,y,z) = -0.015, 0.013, -0.001 | Magnetic Field (x,y,z) = = 20.698, -22.680, -22.508"																																									289	294	302	311	0.015	-0.006	-1.562	21:26:09.119	0.8931611	0.055	-4.922280417
"2013-09-11 21:26:09.163 MotionAnalysis[1051:907] Attiude(r,p,y) = 76.625, -1.177, 122.370 Original(r,p,y) = 1.592, 0.233, 2.572 RM (m11,m12,m13,m21,m22,m23,m31,m32,m33) = (-0.10697, -0.20608, -0.97267, -0.52487, -0.81916, 0.23127, -0.84443, 0.53527, -0.02054) | Rotation Rate (x,y,z) = = 0.016, 0.009, -1.623 | Gravity (x,y,z) = 0.973, -0.231, 0.021 | User Acceleration (x,y,z) = -0.003, 0.033, -0.004 | Magnetic Field (x,y,z) = = 22.566, -20.836, -22.496"																																									289	294	301	310	0.016	0.009	-1.623	21:26:09.163	0.893161609	0.044	-4.091606206
"2013-09-11 21:26:09.219 MotionAnalysis[1051:907] Attiude(r,p,y) = 81.397, -1.194, 122.418 Original(r,p,y) = 1.592, 0.150, 2.573 RM (m11,m12,m13,m21,m22,m23,m31,m32,m33) = (-0.06279, -0.13732, -0.98853, -0.53269, -0.83299, 0.14955, -0.84398, 0.53597, -0.02084) | Rotation Rate (x,y,z) = = 0.017, -0.004, -1.619 | Gravity (x,y,z) = 0.989, -0.150, 0.021 | User Acceleration (x,y,z) = 0.016, 0.011, -0.003 | Magnetic Field (x,y,z) = = 23.918, -19.282, -22.485"																																									289	294	302	311	0.017	-0.004	-1.619	21:26:09.219	0.893162257	0.056	-5.194664555
"2013-09-11 21:26:09.275 MotionAnalysis[1051:907] Attiude(r,p,y) = 86.407, -1.224, 122.482 Original(r,p,y) = 1.592, 0.063, 2.573 RM (m11,m12,m13,m21,m22,m23,m31,m32,m33) = (-0.01566, -0.06432, -0.99781, -0.53710, -0.84119, 0.06265, -0.84337, 0.53691, -0.02137) | Rotation Rate (x,y,z) = = 0.033, 0.010, -1.622 | Gravity (x,y,z) = 0.998, -0.063, 0.021 | User Acceleration (x,y,z) = 0.088, 0.012, -0.002 | Magnetic Field (x,y,z) = = 25.606, -17.007, -22.461"																																									289	294	301	310	0.033	0.01	-1.622	21:26:09.275	0.893162905	0.056	-5.204290245
"2013-09-11 21:26:09.319 MotionAnalysis[1051:907] Attiude(r,p,y) = 90.169, -1.240, 122.552 Original(r,p,y) = 1.592, -0.003, 2.574 RM (m11,m12,m13,m21,m22,m23,m31,m32,m33) = (0.01983, -0.00915, -0.99976, -0.53801, -0.84294, -0.00296, -0.84271, 0.53794, -0.02164) | Rotation Rate (x,y,z) = = 0.012, -0.004, -0.741 | Gravity (x,y,z) = 1.000, 0.003, 0.022 | User Acceleration (x,y,z) = 0.225, -0.047, 0.006 | Magnetic Field (x,y,z) = = 26.734, -15.219, -22.430"																																									290	295	303	312	0.012	-0.004	-0.741	21:26:09.319	0.893163414	0.044	-1.868071595
"2013-09-11 21:26:09.374 MotionAnalysis[1051:907] Attiude(r,p,y) = 91.863, -1.239, 122.575 Original(r,p,y) = 1.592, -0.033, 2.574 RM (m11,m12,m13,m21,m22,m23,m31,m32,m33) = (0.03571, 0.01576, -0.99924, -0.53752, -0.84262, -0.03250, -0.84249, 0.53827, -0.02162) | Rotation Rate (x,y,z) = = 0.009, 0.002, -0.421 | Gravity (x,y,z) = 0.999, 0.032, 0.022 | User Acceleration (x,y,z) = 0.059, 0.007, 0.002 | Magnetic Field (x,y,z) = = 27.553, -13.708, -22.413"																																									289	294	301	310	0.009	0.002	-0.421	21:26:09.374	0.893164051	0.055	-1.326683774
"2013-09-11 21:26:09.430 MotionAnalysis[1051:907] Attiude(r,p,y) = 92.171, -1.222, 122.579 Original(r,p,y) = 1.592, -0.038, 2.574 RM (m11,m12,m13,m21,m22,m23,m31,m32,m33) = (0.03835, 0.02044, -0.99906, -0.53740, -0.84248, -0.03786, -0.84246, 0.53834, -0.02133) | Rotation Rate (x,y,z) = = -0.007, 0.006, -0.003 | Gravity (x,y,z) = 0.999, 0.038, 0.021 | User Acceleration (x,y,z) = 0.000, 0.009, 0.002 | Magnetic Field (x,y,z) = = 27.844, -13.099, -22.417"																																									289	295	302	311	-0.007	0.006	-0.003	21:26:09.430	0.893164699	0.056	-0.009625691
"2013-09-11 21:26:09.472 MotionAnalysis[1051:907] Attiude(r,p,y) = 92.215, -1.191, 122.571 Original(r,p,y) = 1.592, -0.039, 2.574 RM (m11,m12,m13,m21,m22,m23,m31,m32,m33) = (0.03832, 0.02139, -0.99904, -0.53726, -0.84253, -0.03865, -0.84254, 0.53823, -0.02079) | Rotation Rate (x,y,z) = = -0.001, -0.001, -0.004 | Gravity (x,y,z) = 0.999, 0.039, 0.021 | User Acceleration (x,y,z) = 0.003, 0.006, -0.004 | Magnetic Field (x,y,z) = = 27.849, -13.083, -22.421"																																									289	295	303	312	-0.001	-0.001	-0.004	21:26:09.472	0.893165185	0.042	-0.009625691
"2013-09-11 21:26:09.528 MotionAnalysis[1051:907] Attiude(r,p,y) = 92.280, -1.196, 122.576 Original(r,p,y) = 1.592, -0.040, 2.574 RM (m11,m12,m13,m21,m22,m23,m31,m32,m33) = (0.03899, 0.02229, -0.99899, -0.53729, -0.84246, -0.03977, -0.84250, 0.53830, -0.02087) | Rotation Rate (x,y,z) = = 0.006, 0.003, 0.001 | Gravity (x,y,z) = 0.999, 0.040, 0.021 | User Acceleration (x,y,z) = 0.001, 0.006, 0.000 | Magnetic Field (x,y,z) = = 27.852, -13.056, -22.432"																																									289	294	301	309	0.006	0.003	0.001	21:26:09.528	0.893165833	0.056	0.003208564
"2013-09-11 21:26:09.585 MotionAnalysis[1051:907] Attiude(r,p,y) = 92.315, -1.185, 122.590 Original(r,p,y) = 1.592, -0.040, 2.574 RM (m11,m12,m13,m21,m22,m23,m31,m32,m33) = (0.03917, 0.02290, -0.99897, -0.53749, -0.84231, -0.04038, -0.84236, 0.53851, -0.02069) | Rotation Rate (x,y,z) = = 0.007, 0.009, -0.001 | Gravity (x,y,z) = 0.999, 0.040, 0.021 | User Acceleration (x,y,z) = 0.004, 0.003, -0.002 | Magnetic Field (x,y,z) = = 27.861, -13.032, -22.435"																																									289	294	301	310	0.007	0.009	-0.001	21:26:09.585	0.893166493	0.057	-0.003265859
"2013-09-11 21:26:09.627 MotionAnalysis[1051:907] Attiude(r,p,y) = 92.341, -1.177, 122.593 Original(r,p,y) = 1.591, -0.041, 2.574 RM (m11,m12,m13,m21,m22,m23,m31,m32,m33) = (0.03930, 0.02336, -0.99895, -0.53752, -0.84226, -0.04084, -0.84234, 0.53856, -0.02054) | Rotation Rate (x,y,z) = = -0.002, -0.003, 0.001 | Gravity (x,y,z) = 0.999, 0.041, 0.021 | User Acceleration (x,y,z) = 0.004, 0.005, 0.001 | Magnetic Field (x,y,z) = = 27.864, -13.028, -22.434"																																									289	295	303	311	-0.002	-0.003	0.001	21:26:09.627	0.893166979	0.042	0.002406423
"2013-09-11 21:26:09.684 MotionAnalysis[1051:907] Attiude(r,p,y) = 92.369, -1.162, 122.596 Original(r,p,y) = 1.591, -0.041, 2.574 RM (m11,m12,m13,m21,m22,m23,m31,m32,m33) = (0.03934, 0.02390, -0.99894, -0.53754, -0.84222, -0.04132, -0.84232, 0.53860, -0.02028) | Rotation Rate (x,y,z) = = 0.001, -0.004, 0.001 | Gravity (x,y,z) = 0.999, 0.041, 0.020 | User Acceleration (x,y,z) = 0.006, 0.003, -0.003 | Magnetic Field (x,y,z) = = 27.866, -13.015, -22.439"																																									289	294	302	310	0.001	-0.004	0.001	21:26:09.684	0.893167639	0.057	0.003265859
"2013-09-11 21:26:09.740 MotionAnalysis[1051:907] Attiude(r,p,y) = 92.389, -1.155, 122.598 Original(r,p,y) = 1.591, -0.042, 2.573 RM (m11,m12,m13,m21,m22,m23,m31,m32,m33) = (0.03942, 0.02427, -0.99893, -0.53757, -0.84219, -0.04167, -0.84230, 0.53863, -0.02015) | Rotation Rate (x,y,z) = = -0.006, 0.001, -0.004 | Gravity (x,y,z) = 0.999, 0.042, 0.020 | User Acceleration (x,y,z) = 0.004, 0.002, -0.001 | Magnetic Field (x,y,z) = = 27.869, -12.999, -22.445"																																									289	295	302	311	-0.006	0.001	-0.004	21:26:09.740	0.893168287	0.056	-0.012834255
"2013-09-11 21:26:09.783 MotionAnalysis[1051:907] Attiude(r,p,y) = 92.406, -1.127, 122.598 Original(r,p,y) = 1.590, -0.042, 2.573 RM (m11,m12,m13,m21,m22,m23,m31,m32,m33) = (0.03918, 0.02479, -0.99892, -0.53757, -0.84217, -0.04198, -0.84231, 0.53864, -0.01967) | Rotation Rate (x,y,z) = = 0.005, -0.006, -0.004 | Gravity (x,y,z) = 0.999, 0.042, 0.020 | User Acceleration (x,y,z) = 0.005, 0.001, -0.004 | Magnetic Field (x,y,z) = = 27.868, -12.993, -22.449"																																									289	294	302	311	0.005	-0.006	-0.004	21:26:09.783	0.893168785	0.043	-0.009854874
